rank,name,pos,team,composite_half_ppr,ppg_half_ppr,games,production_score_half_ppr,opportunity_score,oline_score,qb_quality_score,sos_score,durability_score,touches,targets,snaps
123,AJ Barner,TE,SEA,47.93,7.14,17,45.0,66.2,56.2,30.4,0.521,100.0,62.0,68.0,827.0
124,Mack Hollins,WR,NE,47.9,5.32,17,24.2,49.4,62.5,81.9,0.479,100.0,47.0,65.0,659.0
125,Tetairoa McMillan,WR,CAR,47.89,10.38,17,51.5,66.0,21.9,27.6,0.5435,100.0,70.0,122.0,925.0
126,Dalton Schultz,TE,HOU,47.68,8.04,17,51.4,61.3,18.8,36.7,0.5177,91.0,82.0,106.0,789.0
127,Marquise Brown,WR,PHI,47.51,7.08,16,33.7,38.7,96.9,65.4,0.4726,100.0,49.0,74.0,499.0
128,Wan'Dale Robinson,WR,TEN,47.23,10.11,17,50.0,91.0,12.5,4.3,0.4984,100.0,95.0,140.0,973.0
129,Brenton Strange,TE,JAX,47.06,5.59,17,34.0,45.6,9.4,77.6,0.5048,100.0,46.0,60.0,553.0
130,Josh Downs,WR,IND,46.85,6.71,16,31.7,48.7,90.6,57.2,0.4758,100.0,60.0,88.0,553.0
131,Sean Tucker,RB,TB,46.7,5.14,17,20.8,21.7,93.8,46.1,0.5274,100.0,94.0,11.0,177.0
132,Marvin Harrison,WR,ARI,46.59,8.25,13,40.0,46.3,34.4,57.8,0.55,100.0,41.0,73.0,566.0
133,Aaron Jones,RB,MIN,46.42,6.54,16,27.6,39.3,65.6,42.2,0.4952,100.0,160.0,41.0,366.0
134,Jackson Hawes,TE,BUF,46.4,2.63,17,13.0,37.9,84.4,100.0,0.4919,100.0,16.0,19.0,465.0
135,Ty Johnson,RB,BUF,46.29,5.19,17,21.0,15.3,84.4,100.0,0.4919,100.0,74.0,33.0,310.0
136,Stefon Diggs,WR,WAS,46.21,9.87,17,48.7,47.8,3.1,47.0,0.5403,100.0,85.0,102.0,560.0
137,Tyrone Tracy,RB,NYG,46.02,9.52,15,42.0,47.2,31.2,53.8,0.5145,100.0,212.0,48.0,496.0
138,Jake Tonges,TE,SF,45.23,4.55,17,26.6,32.1,71.9,79.3,0.4694,100.0,34.0,46.0,399.0
139,Luther Burden,WR,CHI,45.09,6.96,15,33.1,30.0,87.5,65.4,0.5306,100.0,53.0,60.0,368.0
140,Jordan Addison,WR,MIN,44.72,6.71,17,31.7,59.3,65.6,42.2,0.4952,100.0,44.0,79.0,652.0
141,Davis Allen,TE,LAR,44.47,2.99,17,15.6,46.2,68.8,81.4,0.5339,100.0,24.0,33.0,532.0
142,Sam LaPorta,TE,DET,44.41,5.11,17,30.6,50.8,43.8,56.5,0.45,100.0,40.0,49.0,517.0
143,Tyquan Thornton,WR,KC,44.29,4.46,16,19.6,35.4,78.1,82.0,0.4855,100.0,19.0,37.0,368.0
144,Evan Engram,TE,DEN,44.11,4.86,16,28.8,33.4,100.0,61.5,0.4823,100.0,51.0,76.0,435.0
145,Tre Tucker,WR,LV,44.08,7.84,17,37.8,92.3,46.9,0.0,0.4887,100.0,68.0,92.0,881.0
146,Joshua Palmer,WR,BUF,44.04,3.44,12,14.1,24.2,84.4,100.0,0.4919,100.0,22.0,37.0,330.0
147,Tony Pollard,RB,TEN,43.95,9.96,17,44.1,64.8,12.5,4.3,0.4984,100.0,275.0,41.0,623.0
148,Tank Bigsby,RB,PHI,43.94,3.08,17,10.8,15.0,96.9,65.4,0.4726,100.0,66.0,4.0,101.0
149,Alvin Kamara,RB,NO,43.9,7.65,11,32.9,30.8,53.1,44.1,0.4565,100.0,164.0,39.0,457.0
150,Jaleel McLaughlin,RB,DEN,43.79,3.68,8,13.7,7.8,100.0,61.5,0.4823,100.0,41.0,6.0,72.0
